Molecule,Frequency,Intensity,
H2O,614,1.79E-24,
H2O,615,4.77E-23,
H2O,616,7.83E-23,
H2O,617,2.99E-24,
H2O,618,1.47E-24,
H2O,619,2.48E-24,
H2O,620,1.25E-23,
H2O,621,9.04E-23,
H2O,622,3.33E-24,
H2O,623,1.73E-23,
H2O,624,7.34E-25,
H2O,625,1.25E-22,
H2O,626,2.96E-23,
H2O,627,1.09E-24,
H2O,628,8.93E-25,
H2O,629,1.18E-24,
H2O,630,9.30E-24,
H2O,631,4.09E-24,
H2O,632,8.30E-24,
H2O,633,2.16E-23,
H2O,634,9.59E-24,
H2O,635,8.47E-23,
H2O,636,5.76E-23,
H2O,637,7.52E-25,
H2O,638,1.67E-24,
H2O,639,1.72E-23,
H2O,640,3.09E-23,
H2O,641,3.59E-24,
H2O,642,5.74E-23,
H2O,643,6.38E-23,
H2O,644,7.60E-24,
H2O,645,1.07E-24,
H2O,646,1.11E-23,
H2O,647,3.92E-23,
H2O,648,8.90E-24,
H2O,649,4.81E-23,
H2O,650,8.20E-24,
H2O,651,1.26E-24,
H2O,652,3.48E-23,
H2O,653,1.37E-24,
H2O,654,8.43E-25,
H2O,655,3.38E-24,
H2O,656,2.86E-24,
H2O,657,1.12E-24,
H2O,658,7.06E-25,
H2O,659,9.78E-23,
H2O,660,5.89E-24,
H2O,661,3.36E-24,
H2O,662,7.10E-24,
H2O,663,6.01E-25,
H2O,664,2.05E-23,
H2O,665,1.35E-23,
H2O,666,5.00E-24,
H2O,667,3.21E-23,
H2O,668,1.30E-23,
H2O,669,4.22E-24,
H2O,670,3.09E-23,
H2O,671,3.10E-23,
H2O,672,3.44E-23,
H2O,673,2.63E-23,
H2O,674,6.66E-24,
H2O,675,7.69E-24,
H2O,676,2.72E-23,
H2O,677,3.51E-24,
H2O,678,5.96E-25,
H2O,679,2.14E-24,
H2O,680,2.71E-24,
H2O,681,2.34E-23,
H2O,682,3.92E-24,
H2O,683,2.95E-23,
H2O,684,2.45E-25,
H2O,685,8.37E-24,
H2O,686,1.21E-23,
H2O,687,3.19E-24,
H2O,688,1.32E-23,
H2O,689,1.51E-23,
H2O,690,1.35E-23,
H2O,691,2.14E-23,
H2O,692,3.25E-24,
H2O,693,2.32E-23,
H2O,694,7.47E-24,
H2O,695,2.31E-23,
H2O,696,5.10E-25,
H2O,697,1.37E-23,
H2O,698,2.37E-23,
H2O,699,1.32E-24,
H2O,700,2.66E-25,
H2O,701,2.80E-25,
H2O,702,2.62E-23,
H2O,703,5.86E-25,
H2O,704,4.74E-23,
H2O,705,6.10E-24,
H2O,706,1.86E-23,
H2O,707,5.92E-24,
H2O,708,9.41E-24,
H2O,709,2.04E-25,
H2O,710,3.58E-24,
H2O,711,6.32E-25,
H2O,712,3.68E-25,
H2O,713,7.68E-24,
H2O,714,9.00E-24,
H2O,715,1.26E-23,
H2O,716,7.94E-25,
H2O,717,1.21E-23,
H2O,718,2.09E-25,
H2O,719,8.87E-24,
H2O,720,2.79E-24,
H2O,721,5.91E-24,
H2O,722,1.28E-23,
H2O,723,9.01E-24,
H2O,724,9.54E-25,
H2O,725,3.19E-25,
H2O,726,7.78E-24,
H2O,727,8.13E-24,
H2O,728,9.48E-24,
H2O,729,9.22E-24,
H2O,730,6.20E-24,
H2O,731,1.03E-23,
H2O,732,9.49E-25,
H2O,733,2.85E-24,
H2O,734,6.94E-25,
H2O,735,1.41E-23,
H2O,736,6.70E-25,
H2O,737,1.12E-24,
H2O,738,1.78E-23,
H2O,739,2.29E-24,
H2O,740,5.48E-25,
H2O,741,6.79E-24,
H2O,742,2.37E-23,
H2O,743,4.94E-24,
H2O,744,8.58E-24,
H2O,745,1.76E-23,
H2O,746,2.40E-25,
H2O,747,1.45E-24,
H2O,748,6.28E-25,
H2O,749,6.30E-25,
H2O,750,7.37E-24,
H2O,751,1.01E-23,
H2O,752,1.73E-23,
H2O,753,2.64E-24,
H2O,754,3.92E-24,
H2O,755,4.80E-24,
H2O,756,8.44E-24,
H2O,757,5.81E-25,
H2O,758,2.22E-25,
H2O,759,4.06E-24,
H2O,760,5.37E-24,
H2O,761,1.11E-23,
H2O,762,2.47E-24,
H2O,763,1.31E-24,
H2O,764,8.62E-25,
H2O,765,1.10E-24,
H2O,766,1.70E-25,
H2O,767,2.58E-23,
H2O,768,3.53E-24,
H2O,769,3.26E-25,
H2O,770,2.34E-24,
H2O,771,3.77E-24,
H2O,772,7.89E-25,
H2O,773,1.05E-24,
H2O,774,3.31E-24,
H2O,775,6.62E-25,
H2O,776,1.02E-24,
H2O,777,1.46E-24,
H2O,778,2.26E-24,
H2O,779,3.56E-24,
H2O,780,2.35E-24,
H2O,781,1.30E-24,
H2O,782,3.60E-24,
H2O,783,1.09E-24,
H2O,784,7.61E-24,
H2O,785,4.25E-25,
H2O,786,3.55E-24,
H2O,787,3.13E-25,
H2O,788,2.69E-24,
H2O,789,6.35E-25,
H2O,790,2.65E-24,
H2O,791,3.07E-25,
H2O,792,4.97E-24,
H2O,793,7.99E-25,
H2O,794,9.54E-24,
H2O,795,3.97E-25,
H2O,796,1.71E-24,
H2O,797,2.26E-24,
H2O,798,2.42E-24,
H2O,799,1.21E-23,
H2O,800,5.72E-25,
H2O,801,1.78E-24,
H2O,802,4.04E-25,
H2O,803,6.85E-24,
H2O,804,5.85E-24,
H2O,805,9.17E-25,
H2O,806,5.15E-24,
H2O,807,1.13E-23,
H2O,808,1.25E-23,
H2O,809,2.35E-25,
H2O,810,3.25E-25,
H2O,811,1.83E-25,
H2O,812,2.63E-24,
H2O,813,7.41E-26,
H2O,814,2.03E-24,
H2O,815,9.34E-24,
H2O,816,4.02E-24,
H2O,817,9.41E-25,
H2O,818,8.54E-25,
H2O,819,2.13E-25,
H2O,820,4.72E-25,
H2O,821,1.51E-25,
H2O,822,6.50E-25,
H2O,823,1.41E-24,
H2O,824,9.15E-25,
H2O,825,3.19E-25,
H2O,826,2.32E-24,
H2O,827,1.62E-24,
H2O,828,9.09E-24,
H2O,829,6.40E-25,
H2O,830,2.54E-25,
H2O,831,9.24E-25,
H2O,832,6.59E-25,
H2O,833,1.83E-24,
H2O,834,2.03E-25,
H2O,835,4.57E-25,
H2O,836,3.54E-24,
H2O,837,1.72E-25,
H2O,838,3.91E-25,
H2O,839,2.34E-25,
H2O,840,3.10E-24,
H2O,841,1.13E-24,
H2O,842,3.49E-25,
H2O,843,9.49E-25,
H2O,844,4.66E-25,
H2O,845,6.11E-25,
H2O,846,4.24E-24,
H2O,847,1.62E-25,
H2O,848,4.95E-25,
H2O,849,7.04E-25,
H2O,850,2.77E-24,
H2O,851,9.46E-24,
H2O,852,4.99E-24,
H2O,853,1.03E-23,
H2O,854,8.58E-26,
H2O,855,1.47E-24,
H2O,856,3.36E-25,
H2O,857,8.84E-26,
H2O,858,1.51E-25,
H2O,859,8.78E-24,
H2O,860,5.99E-24,
H2O,861,3.21E-24,
H2O,862,2.83E-25,
H2O,863,1.24E-25,
H2O,864,1.25E-24,
H2O,865,1.84E-24,
H2O,866,8.69E-24,
H2O,867,2.67E-25,
H2O,868,2.92E-25,
H2O,869,4.72E-26,
H2O,870,2.74E-25,
H2O,871,2.63E-25,
H2O,872,2.36E-25,
H2O,873,2.51E-24,
H2O,874,2.69E-25,
H2O,875,9.21E-25,
H2O,876,1.55E-26,
H2O,877,2.29E-25,
H2O,878,3.93E-26,
H2O,879,1.11E-24,
H2O,880,3.53E-25,
H2O,881,1.23E-25,
H2O,882,1.43E-25,
H2O,883,5.54E-24,
H2O,884,6.83E-25,
H2O,885,1.05E-25,
H2O,886,1.43E-25,
H2O,887,3.19E-24,
H2O,888,2.13E-25,
H2O,889,1.19E-24,
H2O,890,4.56E-25,
H2O,891,6.72E-25,
H2O,892,2.83E-25,
H2O,893,2.02E-25,
H2O,894,1.21E-25,
H2O,895,2.50E-24,
H2O,896,5.81E-25,
H2O,897,1.35E-25,
H2O,898,6.27E-25,
H2O,899,4.75E-25,
H2O,900,1.23E-25,
H2O,901,9.16E-26,
H2O,902,1.40E-24,
H2O,903,7.99E-26,
H2O,904,1.20E-24,
H2O,905,2.52E-24,
H2O,906,6.54E-24,
H2O,907,2.94E-24,
H2O,908,6.72E-25,
H2O,909,9.73E-25,
H2O,910,4.01E-24,
H2O,911,1.10E-23,
H2O,912,1.36E-25,
H2O,913,2.51E-25,
H2O,914,1.42E-24,
H2O,915,2.06E-24,
H2O,916,6.04E-26,
H2O,917,1.54E-25,
H2O,918,6.57E-25,
H2O,919,3.42E-24,
H2O,920,7.62E-25,
H2O,921,1.69E-24,
H2O,922,4.84E-25,
H2O,923,5.42E-25,
H2O,924,4.81E-26,
H2O,925,4.13E-26,
H2O,926,6.66E-26,
H2O,927,4.13E-25,
H2O,928,7.63E-25,
H2O,929,1.56E-24,
H2O,930,1.86E-25,
H2O,931,3.29E-25,
H2O,932,7.61E-25,
H2O,933,8.07E-26,
H2O,934,4.12E-25,
H2O,935,4.89E-26,
H2O,936,1.27E-25,
H2O,937,5.46E-25,
H2O,938,7.14E-25,
H2O,939,4.30E-25,
H2O,940,7.17E-25,
H2O,941,4.14E-25,
H2O,942,3.02E-25,
H2O,943,1.63E-25,
H2O,944,1.02E-24,
H2O,945,6.27E-25,
H2O,946,1.46E-24,
H2O,947,2.19E-25,
H2O,948,2.08E-25,
H2O,949,4.14E-26,
H2O,950,9.98E-25,
H2O,951,9.11E-26,
H2O,952,1.28E-25,
H2O,953,9.39E-25,
H2O,954,1.59E-24,
H2O,955,4.03E-26,
H2O,956,2.35E-24,
H2O,957,4.15E-25,
H2O,958,8.49E-26,
H2O,959,6.14E-24,
H2O,960,1.97E-24,
H2O,961,6.57E-24,
H2O,962,9.55E-26,
H2O,963,3.20E-24,
H2O,964,1.17E-24,
H2O,965,1.24E-24,
H2O,966,6.68E-26,
H2O,967,1.02E-24,
H2O,968,1.72E-24,
H2O,969,1.18E-24,
H2O,970,2.27E-25,
H2O,971,6.99E-25,
H2O,972,7.43E-25,
H2O,973,1.98E-24,
H2O,974,4.43E-25,
H2O,975,2.47E-26,
H2O,976,2.72E-25,
H2O,977,1.08E-25,
H2O,978,3.12E-25,
H2O,979,3.43E-25,
H2O,980,3.91E-26,
H2O,981,2.37E-26,
H2O,982,4.41E-26,
H2O,983,9.58E-25,
H2O,984,5.24E-25,
H2O,985,9.08E-26,
H2O,986,6.11E-26,
H2O,987,9.69E-26,
H2O,988,1.32E-25,
H2O,989,1.41E-24,
H2O,990,4.35E-25,
H2O,991,8.67E-25,
H2O,992,1.35E-25,
H2O,993,2.29E-25,
H2O,994,7.60E-25,
H2O,995,3.72E-25,
H2O,996,3.67E-25,
H2O,997,5.94E-26,
H2O,998,6.75E-25,
H2O,999,4.35E-25,
H2O,1000,2.48E-24,
H2O,1001,2.67E-21,
H2O,1002,1.03E-21,
H2O,1003,7.58E-21,
H2O,1004,2.56E-21,
H2O,1005,4.47E-21,
H2O,1006,1.90E-21,
H2O,1007,3.29E-21,
H2O,1008,1.33E-21,
H2O,1009,3.11E-20,
H2O,1010,2.11E-20,
H2O,1011,5.64E-20,
H2O,1012,3.22E-20,
H2O,1013,3.94E-21,
H2O,1014,7.51E-21,
H2O,1015,4.43E-21,
H2O,1016,2.57E-21,
H2O,1017,6.96E-21,
H2O,1018,9.45E-21,
H2O,1019,1.01E-20,
H2O,1020,4.92E-21,
H2O,1021,5.81E-22,
H2O,1022,1.72E-21,
H2O,1023,1.55E-21,
H2O,1024,2.09E-22,
H2O,1025,8.84E-21,
H2O,1026,1.45E-21,
H2O,1027,9.24E-22,
H2O,1028,1.83E-21,
H2O,1029,1.96E-21,
H2O,1030,3.00E-21,
H2O,1031,4.28E-21,
H2O,1032,2.21E-21,
H2O,1033,4.31E-21,
H2O,1034,1.23E-21,
H2O,1035,1.15E-20,
H2O,1036,2.00E-21,
H2O,1037,6.76E-21,
H2O,1038,1.11E-21,
H2O,1039,1.38E-20,
H2O,1040,2.76E-21,
H2O,1041,3.23E-21,
H2O,1042,9.88E-21,
H2O,1043,7.43E-21,
H2O,1044,3.82E-21,
H2O,1045,2.49E-21,
H2O,1046,2.87E-21,
H2O,1047,1.59E-21,
H2O,1048,1.12E-21,
H2O,1049,3.59E-21,
H2O,1050,3.74E-21,
H2O,1051,1.96E-21,
H2O,1052,1.01E-20,
H2O,1053,5.56E-21,
H2O,1054,6.61E-21,
H2O,1055,6.73E-21,
H2O,1056,1.91E-21,
H2O,1057,1.69E-20,
H2O,1058,2.99E-21,
H2O,1059,2.12E-20,
H2O,1060,2.78E-20,
H2O,1061,2.26E-21,
H2O,1062,1.66E-21,
H2O,1063,9.04E-21,
H2O,1064,3.28E-20,
H2O,1065,9.83E-22,
H2O,1066,1.19E-20,
H2O,1067,5.98E-21,
H2O,1068,3.76E-21,
H2O,1069,6.62E-22,
H2O,1070,5.02E-21,
H2O,1071,3.22E-21,
H2O,1072,1.17E-21,
H2O,1073,6.98E-21,
H2O,1074,5.05E-21,
H2O,1075,1.82E-21,
H2O,1076,4.39E-21,
H2O,1077,1.20E-20,
H2O,1078,2.73E-21,
H2O,1079,4.97E-21,
H2O,1080,5.53E-21,
H2O,1081,1.15E-20,
H2O,1082,4.36E-21,
H2O,1083,1.21E-21,
H2O,1084,1.00E-20,
H2O,1085,2.25E-21,
H2O,1086,3.45E-21,
H2O,1087,4.54E-21,
H2O,1088,1.72E-21,
H2O,1089,4.44E-21,
H2O,1090,3.42E-21,
H2O,1091,2.15E-20,
H2O,1092,3.61E-21,
H2O,1093,8.60E-21,
H2O,1094,3.22E-21,
H2O,1095,3.38E-21,
H2O,1096,4.71E-21,
H2O,1097,5.24E-21,
H2O,1098,7.55E-21,
H2O,1099,6.68E-21,
H2O,1100,1.73E-20,
H2O,1101,2.07E-21,
H2O,1102,3.22E-21,
H2O,1103,1.69E-20,
H2O,1104,8.84E-21,
H2O,1105,1.39E-21,
H2O,1106,8.25E-21,
H2O,1107,1.73E-20,
H2O,1108,2.80E-20,
H2O,1109,4.40E-21,
H2O,1110,2.46E-21,
H2O,1111,4.82E-21,
H2O,1112,2.03E-20,
H2O,1113,6.61E-21,
H2O,1114,9.64E-21,
H2O,1115,2.02E-20,
H2O,1116,5.58E-21,
H2O,1117,4.85E-21,
H2O,1118,2.40E-20,
H2O,1119,3.61E-21,
H2O,1120,4.60E-21,
H2O,1121,8.13E-21,
H2O,1122,5.97E-21,
H2O,1123,9.44E-21,
H2O,1124,1.05E-21,
H2O,1125,4.61E-21,
H2O,1126,6.15E-21,
H2O,1127,3.38E-21,
H2O,1128,1.16E-20,
H2O,1129,9.28E-21,
H2O,1130,4.26E-21,
H2O,1131,1.65E-20,
H2O,1132,6.02E-21,
H2O,1133,7.59E-21,
H2O,1134,1.73E-20,
H2O,1135,7.82E-21,
H2O,1136,3.44E-20,
H2O,1137,2.28E-20,
H2O,1138,9.58E-21,
H2O,1139,2.32E-21,
H2O,1140,9.87E-21,
H2O,1141,1.96E-20,
H2O,1142,2.97E-20,
H2O,1143,8.29E-21,
H2O,1144,5.94E-21,
H2O,1145,4.34E-20,
H2O,1146,9.09E-21,
H2O,1147,1.80E-20,
H2O,1148,1.66E-20,
H2O,1149,7.68E-21,
H2O,1150,3.06E-21,
H2O,1151,2.27E-20,
H2O,1152,3.50E-20,
H2O,1153,8.02E-21,
H2O,1154,8.35E-21,
H2O,1155,2.98E-20,
H2O,1156,7.37E-21,
H2O,1157,8.11E-21,
H2O,1158,8.83E-21,
H2O,1159,7.90E-21,
H2O,1160,2.11E-20,
H2O,1161,1.07E-20,
H2O,1162,3.91E-21,
H2O,1163,1.10E-20,
H2O,1164,2.87E-20,
H2O,1165,6.25E-21,
H2O,1166,1.20E-20,
H2O,1167,2.37E-20,
H2O,1168,1.64E-20,
H2O,1169,1.89E-20,
H2O,1170,1.46E-20,
H2O,1171,2.24E-20,
H2O,1172,3.75E-21,
H2O,1173,2.10E-20,
H2O,1174,5.94E-20,
H2O,1175,2.40E-20,
H2O,1176,2.88E-20,
H2O,1177,4.23E-20,
H2O,1178,5.99E-20,
H2O,1179,3.30E-20,
H2O,1180,1.92E-21,
H2O,1181,3.93E-21,
H2O,1182,2.54E-20,
H2O,1183,2.35E-20,
H2O,1184,6.88E-20,
H2O,1185,1.23E-20,
H2O,1186,2.17E-20,
H2O,1187,7.76E-20,
H2O,1188,3.84E-21,
H2O,1189,1.77E-21,
H2O,1190,2.08E-21,
H2O,1191,1.57E-20,
H2O,1192,1.78E-20,
H2O,1193,5.16E-20,
H2O,1194,4.45E-20,
H2O,1195,7.07E-20,
H2O,1196,1.70E-20,
H2O,1197,4.38E-20,
H2O,1198,3.01E-20,
H2O,1199,4.63E-20,
H2O,1200,5.27E-20,
H2O,1201,8.82E-20,
H2O,1202,4.73E-20,
H2O,1203,6.84E-21,
H2O,1204,2.05E-20,
H2O,1205,4.62E-21,
H2O,1206,9.01E-21,
H2O,1207,3.80E-20,
H2O,1208,3.75E-20,
H2O,1209,4.98E-20,
H2O,1210,6.40E-20,
H2O,1211,2.02E-20,
H2O,1212,4.96E-20,
H2O,1213,3.66E-20,
H2O,1214,5.60E-20,
H2O,1215,1.26E-20,
H2O,1216,1.78E-20,
H2O,1217,2.49E-20,
H2O,1218,3.46E-20,
H2O,1219,7.16E-20,
H2O,1220,1.87E-19,
H2O,1221,3.79E-20,
H2O,1222,2.53E-20,
H2O,1223,3.54E-20,
H2O,1224,2.58E-20,
H2O,1225,1.30E-19,
H2O,1226,2.16E-19,
H2O,1227,5.28E-20,
H2O,1228,7.98E-21,
H2O,1229,3.89E-20,
H2O,1230,2.31E-20,
H2O,1231,1.03E-20,
H2O,1232,8.41E-20,
H2O,1233,1.33E-19,
H2O,1234,2.46E-20,
H2O,1235,4.86E-20,
H2O,1236,1.01E-20,
H2O,1237,2.89E-20,
H2O,1238,2.68E-20,
H2O,1239,1.16E-19,
H2O,1240,4.77E-21,
H2O,1241,9.73E-20,
H2O,1242,8.17E-20,
H2O,1243,2.35E-19,
H2O,1244,1.03E-19,
H2O,1245,4.62E-20,
H2O,1246,1.11E-20,
H2O,1247,1.05E-19,
H2O,1248,2.39E-19,
H2O,1249,5.04E-21,
H2O,1250,1.36E-20,
H2O,1251,1.22E-20,
H2O,1252,2.89E-20,
H2O,1253,4.74E-20,
H2O,1254,1.83E-20,
H2O,1255,4.81E-20,
H2O,1256,1.33E-19,
H2O,1257,2.74E-19,
H2O,1258,4.52E-21,
H2O,1259,5.46E-20,
H2O,1260,6.92E-20,
H2O,1261,2.69E-20,
H2O,1262,5.92E-20,
H2O,1263,3.17E-20,
H2O,1264,1.42E-19,
H2O,1265,2.84E-20,
H2O,1266,2.39E-19,
H2O,1267,3.35E-19,
H2O,1268,2.60E-19,
H2O,1269,1.06E-19,
H2O,1270,1.27E-19,
H2O,1271,9.75E-20,
H2O,1272,2.70E-19,
H2O,1273,1.79E-19,
H2O,1274,4.05E-21,
H2O,1275,7.83E-21,
H2O,1276,1.46E-20,
H2O,1277,1.14E-19,
H2O,1278,5.44E-21,
H2O,1279,1.42E-20,
H2O,1280,1.86E-19,
H2O,1281,3.75E-19,
H2O,1282,2.49E-20,
H2O,1283,1.87E-20,
H2O,1284,3.49E-20,
H2O,1285,5.28E-20,
H2O,1286,5.62E-20,
H2O,1287,2.13E-19,
H2O,1288,3.25E-19,
H2O,1289,1.09E-19,
H2O,1290,1.08E-20,
H2O,1291,4.60E-19,
H2O,1292,3.80E-19,
H2O,1293,8.48E-20,
H2O,1294,4.74E-20,
H2O,1295,1.81E-20,
H2O,1296,3.36E-19,
H2O,1297,3.36E-19,
H2O,1298,1.20E-20,
H2O,1299,5.51E-20,
H2O,1300,1.30E-20,
H2O,1301,2.71E-20,
H2O,1302,2.71E-20,
H2O,1303,1.31E-20,
H2O,1304,4.03E-20,
H2O,1305,2.66E-19,
H2O,1306,1.44E-19,
H2O,1307,4.15E-20,
H2O,1308,1.10E-19,
H2O,1309,6.32E-20,
H2O,1310,4.49E-20,
H2O,1311,3.91E-20,
H2O,1312,1.32E-19,
H2O,1313,4.13E-19,
H2O,1314,1.19E-19,
H2O,1315,4.18E-19,
H2O,1316,2.83E-19,
H2O,1317,4.61E-19,
H2O,1318,2.24E-19,
H2O,1319,1.99E-19,
H2O,1320,5.97E-20,
H2O,1321,4.22E-19,
H2O,1322,5.40E-21,
H2O,1323,1.40E-19,
H2O,1324,1.16E-19,
H2O,1325,9.50E-20,
H2O,1326,1.93E-19,
H2O,1327,6.10E-20,
H2O,1328,1.74E-19,
H2O,1329,2.79E-20,
H2O,1330,6.96E-20,
H2O,1331,7.41E-21,
H2O,1332,2.95E-20,
H2O,1333,5.45E-20,
H2O,1334,6.16E-20,
H2O,1335,5.64E-20,
H2O,1336,2.84E-21,
H2O,1337,6.05E-19,
H2O,1338,2.86E-19,
H2O,1339,9.24E-19,
H2O,1340,6.57E-19,
H2O,1341,2.20E-19,
H2O,1342,2.63E-20,
H2O,1343,5.15E-21,
H2O,1344,2.10E-19,
H2O,1345,1.36E-19,
H2O,1346,2.21E-19,
H2O,1347,1.01E-19,
H2O,1348,1.32E-20,
H2O,1349,1.44E-19,
H2O,1350,2.41E-20,
H2O,1351,2.08E-20,
H2O,1352,1.92E-19,
H2O,1353,6.14E-20,
H2O,1354,1.85E-20,
H2O,1355,2.52E-19,
H2O,1356,1.10E-19,
H2O,1357,3.85E-20,
H2O,1358,3.22E-19,
H2O,1359,1.05E-19,
H2O,1360,1.87E-20,
H2O,1361,8.52E-19,
H2O,1362,9.03E-20,
H2O,1363,8.07E-19,
H2O,1364,1.53E-19,
H2O,1365,3.66E-20,
H2O,1366,1.45E-20,
H2O,1367,1.33E-20,
H2O,1368,6.27E-21,
H2O,1369,1.36E-19,
H2O,1370,1.95E-19,
H2O,1371,2.90E-19,
H2O,1372,1.88E-19,
H2O,1373,1.35E-20,
H2O,1374,3.95E-19,
H2O,1375,1.55E-19,
H2O,1376,8.97E-21,
H2O,1377,1.96E-20,
H2O,1378,5.64E-19,
H2O,1379,3.73E-20,
H2O,1380,2.63E-19,
H2O,1381,7.26E-20,
H2O,1382,2.24E-19,
H2O,1383,1.44E-19,
H2O,1384,1.54E-19,
H2O,1385,4.10E-20,
H2O,1386,2.22E-19,
H2O,1387,1.05E-20,
H2O,1388,9.96E-19,
H2O,1389,4.02E-20,
H2O,1390,2.96E-20,
H2O,1391,2.21E-19,
H2O,1392,1.67E-21,
H2O,1393,3.68E-20,
H2O,1394,8.64E-19,
H2O,1395,5.86E-20,
H2O,1396,1.81E-19,
H2O,1397,1.79E-20,
H2O,1398,5.69E-19,
H2O,1399,3.08E-19,
H2O,1400,1.39E-19,
H2O,1401,1.49E-19,
H2O,1402,7.59E-20,
H2O,1403,6.64E-20,
H2O,1404,1.64E-19,
H2O,1405,3.14E-19,
H2O,1406,8.68E-20,
H2O,1407,1.60E-19,
H2O,1408,6.37E-20,
H2O,1409,1.69E-19,
H2O,1410,1.84E-19,
H2O,1411,1.59E-19,
H2O,1412,2.41E-19,
H2O,1413,4.27E-20,
H2O,1414,7.97E-20,
H2O,1415,2.07E-20,
H2O,1416,3.02E-19,
H2O,1417,4.23E-19,
H2O,1418,2.21E-19,
H2O,1419,4.93E-19,
H2O,1420,5.68E-19,
H2O,1421,1.64E-19,
H2O,1422,3.49E-20,
H2O,1423,1.04E-19,
H2O,1424,6.00E-19,
H2O,1425,4.87E-20,
H2O,1426,1.34E-19,
H2O,1427,1.91E-19,
H2O,1428,1.75E-19,
H2O,1429,8.81E-20,
H2O,1430,1.36E-19,
H2O,1431,4.43E-20,
H2O,1432,9.06E-20,
H2O,1433,2.27E-19,
H2O,1434,3.12E-20,
H2O,1435,3.46E-20,
H2O,1436,7.27E-19,
H2O,1437,7.06E-19,
H2O,1438,2.73E-20,
H2O,1439,1.25E-19,
H2O,1440,1.21E-20,
H2O,1441,2.37E-19,
H2O,1442,1.79E-19,
H2O,1443,2.91E-20,
H2O,1444,5.03E-20,
H2O,1445,4.10E-19,
H2O,1446,1.37E-20,
H2O,1447,9.95E-21,
H2O,1448,3.92E-19,
H2O,1449,6.61E-20,
H2O,1450,1.12E-20,
H2O,1451,1.68E-20,
H2O,1452,3.57E-19,
H2O,1453,6.66E-20,
H2O,1454,1.41E-19,
H2O,1455,3.30E-19,
H2O,1456,6.08E-20,
H2O,1457,1.33E-18,
H2O,1458,4.62E-19,
H2O,1459,1.94E-19,
H2O,1460,1.89E-19,
H2O,1461,1.57E-19,
H2O,1462,2.53E-19,
H2O,1463,3.42E-19,
